Countries,Channels,Subscribers
c
Åland Islands,"[BlackSmoke Billy, Mystic Media, Daily Monkey, ♠Добромаг♠, thatsideofu2b]","[78.8K, 63.2K, 33.6K, 31.7K, 24.8K]"
Albania,"[Top Chnnel Albania, RTV KLAN, 女将扛枪, Vine Zone, Dream Vine]","[3.15M, 2.18M, 1.11M, 1.06M, 1M]"
Algeria,"[Oum Walid, EnnaharTv, Didine Canon 16, EchoroukTV, حلويات إقتصادية و راقية]","[14M, 10.9M, 7.45M, 7.27M, 6.93M]"
Samoa,"[DODO-G, মায়াঘেরা জগৎ, Hayaan Video Pro, CHASERKID, Hailey James family cuộc sống Mỹ]","[1.05M, 197K, 188K, 165K, 160K]"
Andorra,"[Boutchoo!, Geminis tv, Наша Планета, Julia Cates, Borjatube]","[717K, 287K, 68.3K, 57.8K, 57.7K]"
Angola,"[C4 Pedro, Anna Joyce, holdmyhandtv, NOSSA TV ZIMBO, películas completas]","[580K, 245K, 115K, 85.1K, 68.9K]"
Anguilla,"[MOLI, Dr.Aksingh Health Consultant, Dreamy Nights, MZXI, Mimounlokman]","[1.04M, 522K, 480K, 438K, 419K]"
Antigua And Barbuda,"[Windies Cricket, KurenoDash, Parapligikos1968, Mike Loupnikis, FuegoContoTv]","[4.34M, 177K, 128K, 78.8K 31.1K]"
Argentina,"[Alejo Igoa, El Reino Infantil, La Granja de Zenón, TheDonato, Ian Lucas]","[94.8M, 70.5M, 44.9M, 42.8M, 37.4M]"
Armenia,"[Kids Tv Armenian - մանկական երգեր, Street Stars, Bidza, մանկական երգեր | Армянские детские песни, Luskamralus]","354K, 182K, 150K, 132K, 125K]"
Aruba ,"[Rani Vlog RBL, قناة الذاكرين, MYANMAR Y Y T, يوسف البري Youssef Al-Berry, xtr]","[939K, 381K, 312K, 273K, 162K]"
Australia,"[Bounce Patrol - Kids Songs, Double Date, How Ridiculous, LazarBeam, Jasmin and James]","[33.7M, 25.3M, 23.9M, 23.2M, 19.4M]"
Austria,"[Red Bull, Austrian, Fabio Wibmer, Talin tube family - عائلة تالين تيوب, Red Bull Batalla]","[26.1M, 13.4M, 8.01M, 7.51M, 7.26M]"
Bahamas,"[EthioVEVO1 Ethiopia Official, Quality Lyric Channel - Killing the Competition (Bahamas), Sivananda Ashram Yoga Retreat Bahamas, Sherwin Gardner, HH Universe]","[103K, 98.8K, 53.5K, 52.4K, 33.6K]"
Bahrain,"[ عمر فاروق Omar Farooq, احمد شريف Ahmed Sharif, DvLZStaTioN, أباذر الحلواجي Abather Alhalwachi l, Haman]","[8.04M, 3.63M, 3.62M, 3.58M, 3.45M]"
Bangladesh,"[Jamuna TV, Tonni art and craft, Channel 24, Anupam Movie Songs, Farjana Drawing Academy]","[29.3M, 19.2M, 15.9M, 15.6M, 15.5M]"
Barbados,"[Palaceo Possum, PMOBarbados, bajanmusicfan, DiscipleDJ, GhostlyPhantazy]","[57.7K, 40.4K, 38.9K, 36.3K, 35.5K]"
Belarus,"[ГЛЕНТ, Дим Димыч, Lesha Maisak, TicTac, Врискас]","[24.1M, 7.17M, 7.15M, 7.08M, 6.93M]"
Belgium,"[Celine Dept, Celine & Michiel, Bahauddin Dije, Jeanfils, Maureen Naudts MakeUpArtist]","[52.8M, 13.8M, 10.9M, 5.5M, 4.03M]"
Belize,"[5. 10technology, Greater Belize Media | GBM, canelitatec with more Shorts!!, Yuhan at BELIZE, HipHop Belize]","[99.4K, 75K, 34.6K, 14.5K, 14.4K]"
Benin,"[Blue Diamond, BENIN TV, BLAAZ OFFICIEL, Nkemakonam Amarachi, Wael Nabzo]","[431K, 382K, 62.1K, 49.6K, 45.9K]"
Bermuda,"[B. Dylan Hollis, Yoni Charis, Visible Confusion, Southampton SDA Church, Ramya Collections]","[2.48M, 101K, 69K, 45.8K, 36.3K]"
Bhutan,"[Tengiz Türk, རྫོང་ཁ་གོང་འཕེལ་ལྷན་ཚོགས། Dzongkha Development Commission, 黃慧音 Imee Ooi - Topic, fede4189, Yellow]","[43.9K, 40K, 24.6K, 23K, 12.4K, 11.7K]"
Bolivia (Plurinational State of),"[Junior Mavity, Edison FDB, Favio Apaza-MansOn, PASTELES CREATIVOS, Elias Ayaviri]","[11.1M, 3.4M, 3.2M, 2.78M, 2.77M]"
Bosnia And Herzegovina,"[Adani Family, Rampratap, Omcoo, Creativee, Zaga & Filip]","[4.1M, 3.57M, 3.53M, 2.14M, 2.1M]"
Botswana,"[Bokete7, Prophet Cedric Ministries, Amos Kelekwang, carlson madz, 王宝]","[47.8K, 37.6K, 36.4K, 31.4K, 31.3K]"
Brazil,"[Canal KondZilla, Bispo Bruno Leonardo, LUCCAS NETO, Maria Clara & JP, Felipe Neto]","[67.9M, 64.3M, 53.6M, 49.6M, 47.6M]"
Bulgaria,"[Луномосик, Морковь PRO, Best Football Shorts, PlanetaOfficial, Stax]","[16.4M, 6.06M, 5.38M, 2.73M, 2.4M]"
Cambodia,"[CHAN DY, Rasmey Hang Meas, Primitive Survival Tool, RoSeak Zin, Paje Team]","[9.18M, 7.28M, 6.52M, 6.07M, 6.02M]"
Cameroon,"[MAAHLOX officiel, NewBellMusicChannel, Georges Souop, Big Dreams Entertainment, الشاعر مروان العنزي marwan_aleanezi]","[209K, 123K, 72.7K, 49.8K, 46.8K]"
Canada,"[Justin Bieber, Sierra & Rhia FAM, Super Simple Songs - Kids Songs, The Weeknd, Nick Pro]","[76.5M, 46.9M, 45.4M, 39M, 26.7M]"
Cape Verde,"[Junior Rojas, Aprender e Estudar em Casa, INDIRA, Tryana Confidential, Catalina Rojas]","[22.1K, 20.3K, 19.9K, 14K, 11.3K]"
Central African Republic,"[LOA Media, UN Mission in the Central African Republic - MINUSCA, Nice Yang, afrord, LEMON MINA ＃roadto4k]","[51.7K, 36.4K, 10.5K, 4.26K, 3.63K]"
Chad,"[Sao Magazine TV, FunHiFun, Gildas Ciani, Alwihda Info, Arkotix]","[38.8K, 22.1K, 13.7K, 11.6K, 10.4K]"
Chile,"[JuegaGerman, HolaSoyGerman., DeGoBooM, NachitoJuegaJuegos, MEGA Oficial]","[54.4M, 44.4M, 23.6M, 16.6M, 10M]"
China,"[李子柒 Liziqi, iPanda, Xiaomi, 熊出没 Boonie Bears, CCTV中国中央电视台]","[28.7M, 7.55M, 6.29M, 4.58M, 3.92M]"
Colombia,"[KAROL G, J Balvin, Ami Rodriguez, toycantando, Anuel AA]","[40.7M, 35.1M, 32.1M, 30.7M, 29.1M]"
Comoros,"[Arenagak, Radio Comores | non stopᴴᴰ, Dadiposlim Holo, Dmo Punch, Swaouti Ndjéma]","20K, 15.4K, 5.56K, 4.16K, 3.58K]"
Congo,"[ASTUCES NATURELLES - DR KOLO, ICC TV CONGO, Телестудия ""Кнопка"", YVES CASTANOU TV, Makhalba Malecheck]","[250K, 184K, 161K, 149K, 59.8K]"
Democratic Republic of the Congo,"[Label F'Victeam, RUMBARCHIVES, Vodacom RDC TV, Grands Lacs News, Vodacom Best of the Best]","[247K, 90.6K, 90.3K, 80.3K, 62.5K]"
Costa Rica,"[Araya Vlogs, Germán Rodezel, Superlibro, La Habitación Oscura, Pablogonzae]","[3.07M, 2.02M, 1.9M, 1.87M, 1.57M]"
Croatia,"[2CELLOS, HAUSER, Doctor D.S., Affiliate Labs, KingsOfFailsShow]","[6.7M, 3.63M, 2.8M, 1.62M, 1.5M]"
Cuba,"[Dj Conds, Cubavisión Internacional, Cubadebate, Tirso Duarte, CUBA]","[284K, 137K, 124K, 99.4K, 68.4K]"
Cyprus,"[Wood Mood, Лунтик, Барбоскины, FILMSTER, Epic Media]","[9.91M, 9.17M, 8.85M, 5.8M, 5.18M]"
Czech Republic,"[Printographer1, Радио Свобода, FIZIstyle, Senya Toys, Arsenii Toys]","[5.88M, 4.44M, 3.74M, 3.28M, 2.81M]"
Denmark,"[Subway Surfers, Isabell afro, Lukas Graham, Unisport, MagmaMusen]","[9.88M, 9.74M, 5.69M, 5.33M, 4.88M]"
Djibouti,"[EggStory, Djibouti Web média, karuure TV, C R I P E N maison d'édition, VisitDjibouti]","[28.5K, 12.1K, 10.8K, 7.38K, 5K]"
Dominica,"[djeasy Timeless Music, JustMusicNation, mu tu (Video Maker & Music), Chanel Raphael., Las Tropicales]","[40.9K, 34.6K, 27.3K 23.5K, 16.1K]"
Dominican Republic,"[Cartoon Studio, ElAlfaElJefeTV, WADERLINFF, jeancarlo MTB, Angel Fire 2]","[12.1M, 11.1M, 10.91M, 10.90M, 7.53M]"
Ecuador,"[Soy Suco, Doc Tops, PABLITO, RaptorGamer, MIS PEQUEÑOS ACTORES]","[30.7M, 16M, 15.8M, 15.7M, 12.5M]"
Egypt,"[حِرف إبداعية في 5 دقائق, Mohamed Ramadan I محمد رمضان , 7amoda Gaming, Shawar, MBC مصر]","[16.3M, 16.1M, 14.8M, 14.6M, 13.4M]"
El Salvador,"[Alfredo Larin, Fernanfloo, Los pinguinitos SV, Fernan, Yudi Vargas]","[55.4M, 49.5M, 10M, 9.03M, 8.66M]"
Equatorial Guinea,"[smey HH, Ronaldo.Ona7, King Filoteo, UNICEF Guinea Ecuatorial, LA PLATAFORMA MASIVA WORLD STAR URBAN ORRDDA MUSIC]","[73.9K, 14.5K, 3.27K, 2.98K, 2.36K]"
Eritrea,"[ERi-TV 2, Eritrean News by Eri-TV Live Television, Tigrinya Nationalist - “ሓለንጋ ሽደን ኣግኣዚ” ሓለንጋ ሽደን ኣግኣዚኣናዊ, 
meiiihy, KerenTube]","[126K, 95.8K, 52.9K, 42.4K, 35.8K]"
Estonia,"[MIMIKLIFFI INNKASTAR OFFICIAL, Karl Niilo, Packy Films, VisualPolitik, Life of Boris]","[8.05M, 4.57M, 3.81M, 3.69M, 3.37M]"
Ethiopia,"[Arada Movies, Abol TV, Nuro Bezede ኑሮ በዘዴ, Feriha - ፈሪሀ, Yohana ዮሐና]","[1.05M, 504K, 424K, 266K, 211K]"
Faroe Islands,"[Amigos de Aventuras, -ТАЁЖНЫЙ-, 偶像星剧场, Ythundyth, Eivør]","[2.33M, 1.05M, 599K, 471K, 301K]"
Fiji,"[FijiGovernment, karishma fan, FTV Records, T Naivalu, Luz da Verdade]","[76.6K, 51.7K, 48.7K, 27.6K, 21K]"
Finland,"[Brawl Stars, BigTasty, Rabbert, Hydraulic Press Channel, TheRelaxingEnd]","[23.1M, 13.2M, 12.4M, 10.4M, 9.64M]"
France,"[Tibo InShape, SQUEEZIE, Lofi Girl, GIMS, Mayamystic]","[26.9M, 19.8M, 15.3M, 14.3M, 11.8M]"
French Guiana,"[Francky Officiel, Veronique Art, Tutut Arinda Herawati, WAKA MAN Production,     Juninho J7]","[619K, 158K, 112K, 81.8K, 43.7K]"
French Polynesia,"[BadaBass Music, Tahiti Nui Television, Tahitian Vibes, RingRennSport, F3A Vibration]","[189K, 99K, 77.8K, 50.5K, 48.4K]"
Gabon,"[gabonews info, Le Grand MayomBEAU, Peaux Noires Sublimées, Latchow, MAMA AFRICA]","[75.8K, 73.5K, 71.3K, 33.7K, 33.1K]"
Gambia,"[VetClinicGambia, JLIVE MUSIC, Jobis Manneh, JUNIOR KING ABUKO BOYO, Absolute Entertainment]","[223K, 31.8K, 19.2K, 14.7K, 13.7K]"
Georgia,"[ILYA BORZOV, Double Bubble, KOTVITSKY, YT Object, RanF]","[30M, 7.49M, 6.99M, 6.24M, 5.68M]"
Germany,"[Tsuriki Show, Dhruv Rathee, Younes Zarou, Kurzgesagt – In a Nutshell, boxtoxtv]","[35.9M, 30.2M, 27M, 24.8M, 24.2M]"
Ghana,"[Akpenebrigittemon, 7y2ba, Ropenga_vfx, Father Ankrah, Betaab Records]","[5.05M, 3.73M, 2.31M, 2.04M, 1.47M]"
Gibraltar,"[Yt.NezRoblox, 승부사 케이, Banana, The Story Sphere, Velukkudi Discourses]","[1.44M, 1.27M, 1.15M, 363K, 231K]"
Greece,"[Cyberpunk Santa, GL Show, Teo CRi, Sport Dose, GL SHOW - GL ARMY]","[7.72M, 3.4M, 3.16M, 2.99M, 2.39M]"
Greenland,"[Q's Greenland, Abhijit ka shorts, 바른스탁 트레이더, da_meme sniff, Dayawatidalal]","[488K, 239K, 236K, 224K, 211K]"
Guam,"[mxther, kuamnews, The Truthrevealed, Joser, 
Nekkodude]","[57.1K, 50.7K, 25.1K, 23.1K, 22.6K]"
Guatemala,"[Jexs, MotoSakura, Hola Soy Jose Games, Natalan, Dannycrispin_oficial]","[10.6M, 4.68M, 4.21M, 3.43M, 3.42M]"
Haiti,"[Jhane Douze, BélO Haiti, Feeling A Music, Toby & Vanessa Désiré, AYiiTI]","[189K, 97K, 94.4K, 67K, 45.2K]"
Holy See,"[Vatican News, Vatican News - Español, Vatican News - Português, Vatican News - English, Vatican News - Italiano]","[1.12M, 946K, 599K, 337K, 306K]"
Honduras,"[Soy Marie Oficial, Atmos, El Papayin, Bayruca, Доктор Дью]","[16.3M, 6M, 2.69M, 2.18M, 2.06M]"
Hong Kong SAR China,"[萌萌与舞桐, 超人不会飞, Super Beauty team, 超人夫妇, 好人小丑]","[28.8M, 22.2M, 19.5M, 17.9M, 17.7M]"
Hungary,"[R3D ONE Official, RedRubix, El Juego de Bluey, Vamos ART, Валерия Профатыло]","[2.38M, 2.36M, 2.22M, 2.09M, 1.97M]"
Iceland,"[KSHITIJ DHOLAKIA, Pujya Rajan Jee, KALEO, iAbout, Relax Coffee Jazz]","[6.53M, 4.36M, 2.13M, 1.05M, 1.05M]"
India,"[T-Series, SET India, Zee Music Company, Goldmines, Sony SAB]","[307M, 187M, 121M, 108M, 104M]"
Indonesia,"[Jess No Limit, Ricis Official, Frost Diamond, Willie Salim, Indosiar]","[54.3M, 48.6M, 45M, 38M, 34.3M]"
Iran (Islamic Republic of),"[Eshgh Harf Halish Nemishe عشق حرف حالیش نمیشه, السيد كمال الحيدري, Khanaga, Persian Kids, Kamik Deep House]","[187K, 172K, 136K, 50.7K, 47.1K]"
Iraq,"[الـريماس - Al-Remas, Melon City Show - برنامج ولاية بطيخ, Star Casablanca | نجوم الدار البيضاء, المربد _ قف للتحشيش, عائلة حسام]","[18.4M, 13.4M, 12.4M, 9.16M, 8.87M]"
Ireland,"[PowerKids TV, jacksepticeye, Nogla, Fortune Motivation, Allie Sherlock]","[49.4M, 31.1M, 7.41M, 6.59M, 6.32]"
Israel,"[Abo rany, Bemax - ビマックス, Jomaa, TIKTORIKI, صخر]","[8.51M, 6.36M, 6.15M, 5.21M, 4.12M]"
Italy,"[PANDA BOI, SlivkiShow, Lionfield, mercuri_88, Davie504]","[61.9M, 21.1M, 15.6M, 15.4M, 13.5M]"
Jamaica,"[Sean Paul, VybzKartelRadio, Shenseea, Popcaan, JavierNathaniel]","[5.22M, 3.78M, 3.71M, 2.54M, 2.01M]"
Japan,"[PewDiePie, ISSEI / いっせい, Junya.じゅんや, Sagawa /さがわ, Saito]","[110M, 69M, 38.6M, 37.8M, 35.5M]"
Jordan,"[toyorbabytv, karameeshchannel, Ahmad Aburob, Marah KG, Ayman tuber // ايمن تيوبر]","[29.1M, 16.9M, 10.1M, 9.09M, 7.52M]"
Kazakhstan,"[tuzelity SHUFFLE, KiKiDo, Family Box, Viki Show, Electric Squad]","[39M, 13.51M, 13.50M, 13M, 11.3M]"
Kenya,"[Citizen TV Kenya, KTN News Kenya, TechFreeze, NTV Kenya, Churchill Television]","[6.21M, 3.28M, 3.14M, 3M, 2.54M]"
Kuwait,"[AboFlah, Basim Karbalaei / باسم الكربلائي, Bjlife, Kwili, Dr. Othman Alkamees - الشيخ الدكتور عثمان الخميس]","[47.6M, 12.2M, 7.91M, 6.65M, 5.57M]"
Lebanon,"[Bodi بودي, Mido & Jana _ ميدو وجنى, Mahdi الخال, Nancy Ajram, Abir El Saghir]","[14.8M, 12M, 9.68M, 8.87M, 8.6M]"
Lesotho,"[giky[qglhc, Todo Telenovelas, Lesotho National Broadcasting Services, Droovinci,  Jojo Makolojane]","[229K, 61.4K, 12.8K, 9.92K, 8.57K]"
Malaysia,"[Les' Copaque Production, Monsta, PlataBush, Omar & Hana - Lagu Kanak-Kanak Islam, Monsta Universe]","[24.9M, 18.5M, 11.2M, 8.08M, 7.8M]"
Mexico,"[Fede Vigevani, YOLO AVENTURAS, Juan De Dios Pantoja, Badabun, 
Karla Bustillos]","[70.5M, 66M, 55M, 47.6M, 47.4M]"
Myanmar,"[Legacy Music, BBC News မြန်မာ, The Voice Myanmar, Wyne Su Khaing Thein, Kamayut Online TV] ","[2.62M, 2.45M, 723K, 450K, 450K]"
Netherlands,"[Spinnin' Records, scottsreality, أترو/Atro, NikkieTutorials, Trap City]","[32M, 21.1M, 16M, 14.9M, 13.9M]"
New Zealand,"[Adhemz, McCreamy, KJ Heroes,  Viva La Dirt League, Living Big In A Tiny House]","[20.2M, 10.7M, 8.04M, 7.25M, 4.7M]"
Pakistan,"[HAR PAL GEO, ARY Digital HD, HUM TV, Moosa Tv Info, Salman Noman]","[70.8M, 66M, 52.9M, 24M, 22.3M]"
Panama,"[Morata_YT, SrJinxed, Mimonona Stories, Migiloa, Mgascon]","[10.3M, 8.08M, 7.11M, 4.79M, 4.62M]"
Peru,"[RoxiCake Gamer, ANDRES EL CURIOSO, Drawblogs, Gravity Play, Golemcito Games]","[15.81M, 15.80M, 14.2M, 12.7M, 12M]"
Philippines,"[ABS-CBN Entertainment, GMA Network, Raffy Tulfo in Action, GMA Public Affairs, Ivana Alawi]","[54.1M, 40.5M, 29.8M, 27.5M, 19.8M]"
Vietnam,"[ToRung, BEN EAGLE, H&T Official, Like Nastya VNM, POPS Kids]","[59.4M, 47.1M, 25.8M, 23M, 19.8M]"
United States of America,"[MrBeast, Cocomelon - Nursery Rhymes, Vlad and Niki, ✿ Kids Diana Show, Stokes Twins]","[450M, 198M, 147M, 137M, 132M]"
United Kingdom,"[Peppa Pig - Official Channel, NoCopyrightSounds, Peppa Pig Español Latino - Canal Oficial, DanTDM, Coldplay]","[42.3M, 34.2M, 30.3M, 29.2M, 28.2M]"
Ukraine,"[Познаватель, Маша та Ведмідь, Трум Трум, Lady Diana, DenLion TV]","[20.4M, 18.2M, 15.3M, 14.2M, 11.9M]"
Turkey,"[طارق الحلبي tarik alhalapi, netd müzik, tabii Urdu, Czn Burak, Ruhi Çenet]","[27.7M, 27M, 21.2M, 18.1M, 16.1M]"
United Arab Emirates,"[ZAMZAM ELECTRONICS TRADING, Get Movies, shfa, shfa2 - شفا, shfa show India]","[80.9M, 56.7M, 54.6M, 52.5M, 35.4M]"
Thailand,"[ช่อง one31, WorkpointOfficial, Ch3Thailand, GMM GRAMMY OFFICIAL, AMARINTV : อมรินทร์ทีวี]","[44.1M, 43.3M, 36.5M, 25.7M, 22.3M]"
Taiwan,"[奇軒Tricking, radmiru, PresentHunt, Muse Asia, Roman and Sharon]","[15.7M, 13.5M, 10.2M, 8.33M, 7.81M]"
Syrian Arab Republic,"[Assala Nasri, مصطفى الخاني | Mustafa Alkhani, Mr. Darwish, Yasmine, ssafwan nasser]","[8.14M, 1.89M, 653K, 583K, 575K]"
Spain,"[Mikecrack, invictor, Chuster, AuronPlay, Las Ratitas]","[57.4M, 30.3M, 29.3M, 29.1M, 25.8M]"
Singapore,"[RABBITWARREN - Baby Nin Nin vs ONIBAL, BROTHERS VLOG, Rakib Hossain, Ak Ultra, Attorney Zia]","[33.1M, 25.3M, 21.9M, 18M, 16.6M]"
South Korea,"[김프로KIMPRO, BLACKPINK, HYBE LABELS, CuRe 구래, ToyPuddingTV]","[124M, 99.2M, 79M, 31.9M, 27.6M]"
Portugal,"[UR · Cristiano, WildBrain Português, Temperos e Sabores, DeusJesusAmém, SirKazzio]","[77M, 6.07M, 5.03M, 4.96M, 4.87M]"
Russia,"[Маша и Медведь, Like Nastya Vlog, HiMan, Marmok, SOFIADELMONSTRO]","[58.7M, 22.8M, 19.5M, 19.3M, 18.3M]"
Nigeria,"[MarkAngelComedy, Agbaps Shorts, Rema, Ckay, SamSpedy]","[9.56M, 8.19M, 5.24M, 4.281M, 4.280M]"
Qatar,"[AlJazeera Arabic قناة الجزيرة, Al Jazeera English, beIN SPORTS, العربي - أخبار, Al Jazeera Mubasher قناة الجزيرة مباشر]","[22.1M, 16.9M, 15.1M, 10.1M, 10.0M]"